train/actor_loss,time/time_elapsed,train/critic_loss,train/ent_coef_loss,train/n_updates,train/learning_rate,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/ent_coef,time/episodes
-44.820037841796875,1398,0.1492345929145813,-0.6518024206161499,67903,0.0003,48,92.30688413,68004,104.44,0.06845544278621674,360
-55.18223571777344,1407,0.2321910858154297,-0.25947245955467224,68328,0.0003,48,92.24172463999999,68429,105.72,0.06869332492351532,364
-46.918087005615234,1414,0.18593494594097137,-0.22225569188594818,68606,0.0003,48,92.24008469,68707,105.7,0.06809689849615097,368
-51.928279876708984,1420,0.17025968432426453,-0.18467450141906738,68906,0.0003,48,92.22404128,69007,105.67,0.06845755130052567,372
-52.34142303466797,1427,0.11981683224439621,-0.6692669987678528,69208,0.0003,48,92.23875785,69309,105.74,0.0680999830365181,376
-50.402137756347656,1433,0.18290677666664124,-1.1775126457214355,69492,0.0003,48,92.22533838999998,69593,105.69,0.06874624639749527,380
-54.653472900390625,1440,0.1303112506866455,-0.4054231345653534,69790,0.0003,48,92.24561649000003,69891,105.63,0.0675690621137619,384
-53.538753509521484,1446,0.08771592378616333,-0.08277416229248047,70073,0.0003,48,92.23420780000001,70174,105.5,0.06615979969501495,388
-53.01839065551758,1455,0.14195038378238678,1.0301488637924194,70460,0.0003,48,92.23713758,70561,105.32,0.06441420316696167,392
-55.501163482666016,1462,0.0708811953663826,0.5448549389839172,70745,0.0003,48,92.24866564000001,70846,105.31,0.06385593116283417,396
-57.279911041259766,1469,0.1366564929485321,-0.6435549259185791,71036,0.0003,48,92.29291944999999,71137,103.68,0.061350204050540924,400
-56.30466842651367,1477,0.10919815301895142,0.27422836422920227,71397,0.0003,48,92.25544935999999,71498,104.26,0.061427704989910126,404
-49.81315231323242,1484,0.10466532409191132,-0.629690408706665,71679,0.0003,48,92.29305192999999,71780,103.46,0.060909561812877655,408
-52.75209426879883,1490,0.11627204716205597,0.8186558485031128,71981,0.0003,48,92.40671844999999,72082,99.58,0.05956267565488815,412
-50.86758804321289,1501,0.19590356945991516,0.6299134492874146,72434,0.0003,48,92.43388286,72535,98.94,0.059365950524806976,416
-54.15902328491211,1509,0.13165079057216644,-0.2806144058704376,72805,0.0003,48,92.4324388,72906,99.56,0.05900140479207039,420
-55.476043701171875,1516,0.11041533946990967,0.5718199014663696,73094,0.0003,48,92.47652558,73195,97.84,0.05922190845012665,424
-55.869319915771484,1530,0.11618898808956146,-1.307937502861023,73645,0.0003,48,92.48270105,73746,98.16,0.058988720178604126,428
-55.410369873046875,1536,0.11039549112319946,-0.45097580552101135,73937,0.0003,48,92.51106138000003,74038,98.24,0.05794268473982811,432
