rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,time/episodes,time/fps,time/total_timesteps
95.49,93.95142129000001,1260,58393,0.07241331785917282,-0.5904304385185242,0.0003,-58.29914093017578,0.13548746705055237,408,46,58494
95.52,93.97325602000001,1266,58685,0.07306932657957077,-0.6677639484405518,0.0003,-56.02294921875,0.11045083403587341,412,46,58786
92.48,94.04768427999997,1273,58983,0.0727233961224556,0.20521675050258636,0.0003,-55.44484329223633,0.04846113547682762,416,46,59084
94.94,93.95611194000001,1285,59519,0.07385247945785522,-0.451518714427948,0.0003,-60.004547119140625,0.0965685099363327,420,46,59620
94.96,93.97660112999998,1292,59812,0.07441254705190659,-0.6228795647621155,0.0003,-54.16209411621094,0.06721695512533188,424,46,59913
95.28,93.98068872000002,1298,60137,0.07306643575429916,-0.28048503398895264,0.0003,-57.06437301635742,0.13971808552742004,428,46,60238
95.92,93.96909713000001,1306,60505,0.07231192290782928,-0.05923980474472046,0.0003,-58.781436920166016,0.19218970835208893,432,46,60606
94.13,94.04699311,1317,61025,0.07146798074245453,-0.04050309956073761,0.0003,-57.82794952392578,0.09014986455440521,436,46,61126
97.41,93.93389197,1331,61662,0.07047850638628006,0.7671369910240173,0.0003,-56.7012939453125,0.2251281440258026,440,46,61763
97.16,93.93058893000001,1338,61944,0.07084530591964722,-0.8784123659133911,0.0003,-55.84175109863281,2.318899631500244,444,46,62045
105.45,93.42804469000002,1362,63065,0.07221133261919022,0.2756560742855072,0.0003,-56.85993194580078,0.1203572005033493,448,46,63166
112.31,91.94610167999997,1389,64294,0.07199402153491974,0.43408429622650146,0.0003,-54.753726959228516,0.08606138825416565,452,46,64395
112.14,91.92566794,1396,64585,0.07072100788354874,-0.1456630975008011,0.0003,-58.511863708496094,0.15421095490455627,456,46,64686
111.37,91.95112869,1403,64881,0.0718672052025795,-0.2843082547187805,0.0003,-56.1810302734375,0.1439233422279358,460,46,64982
111.7,91.94773676000003,1410,65236,0.07239134609699249,0.4765855371952057,0.0003,-58.1530876159668,0.11845974624156952,464,46,65337
107.0,92.25758654,1419,65622,0.07245884090662003,0.17614392936229706,0.0003,-61.48698425292969,0.06679569184780121,468,46,65723
115.04,91.84774817000002,1443,66719,0.07187892496585846,1.381772756576538,0.0003,-58.04589080810547,0.09732860326766968,472,46,66820
115.01,91.82864800000002,1449,67007,0.07227373123168945,-0.1863320767879486,0.0003,-58.2349739074707,0.08119536191225052,476,46,67108
112.41,91.92137696000002,1458,67376,0.07145293802022934,-0.0706653892993927,0.0003,-59.15763854980469,0.2209995985031128,480,46,67477
112.35,91.92495055999998,1465,67670,0.07166699320077896,-0.7838518023490906,0.0003,-57.61876678466797,0.07245366275310516,484,46,67771
113.41,91.88290101999999,1474,68074,0.07155730575323105,0.040148213505744934,0.0003,-59.46812057495117,0.22085168957710266,488,46,68175
116.02,91.81094216,1486,68644,0.07074620574712753,0.3952169120311737,0.0003,-59.12367630004883,0.06729426980018616,492,46,68745
116.78,91.78457832,1495,69015,0.07199280709028244,0.6795334815979004,0.0003,-59.54339599609375,0.07889775931835175,496,46,69116
116.4,91.83666799000001,1502,69346,0.07078982144594193,0.5656383633613586,0.0003,-61.319419860839844,0.06836795806884766,500,46,69447
115.33,91.83946534,1509,69631,0.07079179584980011,1.0983858108520508,0.0003,-61.05501174926758,0.05433867871761322,504,46,69732
116.53,91.81967334999999,1519,70046,0.07000911235809326,-0.7418490648269653,0.0003,-61.675743103027344,0.08418478071689606,508,46,70147
116.66,91.82249604,1526,70351,0.06987190991640091,-0.4910445213317871,0.0003,-58.4922981262207,0.08113858103752136,512,46,70452
116.78,91.82982401,1533,70661,0.07155454903841019,0.23963893949985504,0.0003,-61.790260314941406,0.9541339874267578,516,46,70762
114.32,91.921502,1539,70951,0.0703255757689476,-0.5364224910736084,0.0003,-58.8325080871582,0.0677032545208931,520,46,71052
115.34,91.90931947000001,1548,71346,0.07048044353723526,0.8216640949249268,0.0003,-63.021446228027344,0.07904514670372009,524,46,71447
115.2,91.92703958000001,1555,71657,0.07120650261640549,-0.6184688210487366,0.0003,-61.303123474121094,0.08089612424373627,528,46,71758
114.49,91.96039843999999,1562,71954,0.0700141191482544,0.1305081844329834,0.0003,-60.46105194091797,0.06116713583469391,532,46,72055
114.59,91.98967914,1576,72484,0.07125914841890335,-0.10242399573326111,0.0003,-61.77764892578125,0.14962348341941833,536,46,72585
111.95,92.07903594,1585,72857,0.07126548886299133,1.2451964616775513,0.0003,-60.41942596435547,0.10676293075084686,540,46,72958
112.75,92.05208138,1593,73219,0.07169462740421295,0.08966459333896637,0.0003,-57.04368591308594,0.15350395441055298,544,46,73320
104.68,92.56538418999999,1600,73533,0.0713232085108757,0.22441843152046204,0.0003,-58.499290466308594,0.1523945927619934,548,45,73634
95.24,94.08386339,1607,73818,0.0720399022102356,-0.2674325704574585,0.0003,-56.343223571777344,0.16059018671512604,552,45,73919
95.28,94.10263742000002,1614,74113,0.07241407781839371,0.8259903192520142,0.0003,-60.38075256347656,0.196475088596344,556,45,74214
98.22,93.97339961,1627,74703,0.07101065665483475,0.3102516829967499,0.0003,-59.784217834472656,0.0601782351732254,560,45,74804
